--- TYPE OVERLAP MATRIX: ---
--,	Human,	Spirit,	Zombie,	Elf,	Beast,	Goblin,	Vampire,	Dragon,	Bird,	Horror,	Cat,	Merfolk,	Angel,	Insect,	Giant,	Eldrazi,	Dinosaur,	Snake,	Werewolf,	Lizard,	Dog,	Ogre,	Dwarf,	Sliver,	Wurm,	Minotaur,	Drake,	Treefolk,	Orc,	Rat,	Spider,	Kor,	Elephant,	Wolf,	Faerie,	Sphinx,	Centaur,	Vedalken,	Frog,	Hydra,	Kithkin,	Djinn,	Devil,	God,	Rhino,	Troll,	Ninja,	Boar,	Dryad,	Fish,	Horse,	Peasant,	Bat,	Fox,	Myr,	Imp,	Bear,	Octopus,	Turtle,	Squirrel,	Wizard,	Warrior,	Soldier,	Cleric,	Rogue,	Shaman,	Knight,	Druid,	Scout,	Artificer,	Pirate,	Warlock,	Wall,	Monk,	Assassin,	Berserker,	Advisor,	Archer,	Detective,	Mercenary,	Samurai,	Citizen,	Ranger,	Rebel,	Spellshaper,	Barbarian,	Pilot,	Elemental,	Phyrexian,	Demon,	Noble,	Shapeshifter,	Avatar,	Illusion,	Ally,	Nightmare,	Plant,	Mutant,	Fungus,	Robot,	Minion,	Lord
Human,	3782,	2,	0,	13,	-1,	0,	0,	0,	0,	7,	0,	0,	0,	0,	0,	0,	0,	0,	67,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	5,	0,	-1,	0,	0,	0,	0,	0,	0,	2,	0,	0,	23,	0,	0,	0,	0,	31,	0,	0,	0,	0,	2,	0,	0,	0,	564,	313,	552,	347,	203,	143,	296,	109,	86,	137,	91,	70,	0,	82,	82,	42,	74,	42,	30,	32,	50,	26,	29,	40,	37,	29,	15,	0,	28,	0,	43,	2,	0,	0,	35,	0,	0,	10,	0,	0,	17,	0
Spirit,	2,	678,	0,	2,	2,	0,	3,	-1,	13,	4,	7,	0,	7,	0,	-1,	0,	0,	0,	0,	-1,	2,	3,	0,	0,	0,	0,	0,	3,	0,	0,	0,	4,	0,	6,	0,	0,	2,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	4,	0,	0,	0,	4,	8,	20,	18,	2,	0,	9,	0,	0,	0,	4,	2,	0,	0,	0,	0,	4,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	14,	0,	13,	2,	0,	10,	0,	0,	0,	0,	0,	0,	0,	2,	0
Zombie,	0,	0,	618,	9,	12,	6,	0,	4,	10,	26,	8,	2,	0,	0,	16,	0,	2,	9,	0,	2,	4,	5,	0,	0,	4,	8,	5,	2,	0,	5,	0,	0,	0,	0,	0,	0,	2,	0,	2,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	2,	0,	2,	0,	0,	0,	2,	0,	2,	0,	52,	35,	15,	20,	3,	3,	23,	4,	2,	0,	0,	5,	2,	0,	7,	3,	3,	0,	2,	6,	0,	0,	0,	0,	0,	2,	0,	2,	37,	0,	2,	0,	0,	0,	0,	0,	6,	9,	3,	0,	2,	0
Elf,	13,	2,	9,	616,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	3,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	24,	108,	8,	18,	21,	68,	15,	127,	51,	10,	0,	5,	0,	3,	7,	7,	4,	31,	7,	0,	0,	3,	16,	0,	3,	0,	2,	0,	17,	0,	22,	0,	0,	0,	14,	0,	0,	5,	0,	0,	0,	0
Beast,	-1,	2,	12,	0,	520,	0,	0,	0,	5,	5,	23,	0,	0,	2,	0,	3,	12,	0,	0,	2,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	10,	2,	0,	0,	0,	0,	4,	0,	0,	12,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	15,	27,	2,	4,	0,	0,	0,	0,	12,	2,	5,	5,	0,	0,	0
Goblin,	0,	0,	6,	0,	0,	498,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	17,	116,	11,	0,	0,	60,	5,	2,	10,	24,	16,	2,	0,	0,	3,	16,	2,	2,	0,	3,	3,	2,	0,	0,	2,	0,	3,	0,	7,	0,	2,	0,	0,	0,	7,	0,	0,	8,	0,	0,	0,	0
Vampire,	0,	3,	0,	0,	0,	0,	431,	2,	0,	4,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	17,	26,	32,	34,	37,	16,	35,	0,	3,	0,	0,	10,	0,	0,	0,	8,	0,	2,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	4,	26,	0,	0,	0,	10,	0,	0,	0,	0,	0,	0,	0
Dragon,	0,	-1,	4,	0,	0,	0,	2,	408,	0,	0,	5,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	7,	5,	0,	-1,	0,	4,	0,	2,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	2,	0,	0,	3,	0,	0,	5,	3,	3,	0,	-1,	3,	0,	-1,	0,	0,	-1,	0,	0,	0
Bird,	0,	13,	10,	0,	5,	0,	0,	0,	407,	5,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	36,	17,	57,	0,	-1,	4,	4,	0,	14,	0,	0,	2,	0,	2,	0,	0,	5,	0,	0,	0,	0,	4,	0,	2,	0,	0,	0,	4,	8,	2,	4,	0,	0,	2,	0,	2,	0,	2,	0,	0,	0,	0
Horror,	7,	4,	26,	0,	5,	0,	4,	0,	5,	329,	0,	0,	4,	12,	0,	6,	0,	0,	7,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	9,	0,	0,	-1,	0,	2,	0,	0,	4,	52,	0,	0,	0,	9,	0,	0,	11,	0,	0,	3,	0,	0,	0
